ID1,Item1,877,2025-03-09
ID2,Item2,642,2025-09-01
ID3,Item3,202,2025-04-05
ID4,Item4,867,2025-05-15
ID5,Item5,206,2025-04-06
ID6,Item6,753,2025-09-09
ID7,Item7,117,2025-08-09
ID8,Item8,67,2025-11-11
ID9,Item9,644,2025-04-08
ID10,Item10,550,2025-11-30
ID11,Item11,397,2025-09-10
ID12,Item12,751,2026-01-31
ID13,Item13,149,2025-04-28
ID14,Item14,637,2025-04-26
ID15,Item15,785,2025-03-25
ID16,Item16,163,2025-03-09
ID17,Item17,900,2026-01-01
ID18,Item18,364,2025-06-16
ID19,Item19,385,2025-08-28
ID20,Item20,51,2026-01-22
ID21,Item21,340,2025-06-05
ID22,Item22,916,2025-10-02
ID23,Item23,601,2026-01-25
ID24,Item24,315,2025-03-25
ID25,Item25,982,2025-05-02
ID26,Item26,367,2025-04-27
ID27,Item27,735,2026-02-12
ID28,Item28,595,2026-01-18
ID29,Item29,529,2025-09-19
ID30,Item30,402,2026-02-16
ID31,Item31,995,2025-06-29
ID32,Item32,661,2025-04-11
ID33,Item33,97,2026-02-17
ID34,Item34,636,2025-04-10
ID35,Item35,405,2025-09-18
ID36,Item36,736,2025-05-26
ID37,Item37,737,2025-04-27
ID38,Item38,994,2025-02-25
ID39,Item39,204,2025-05-19
ID40,Item40,967,2025-03-04
ID41,Item41,564,2025-03-10
ID42,Item42,111,2025-04-10
ID43,Item43,837,2025-08-23
ID44,Item44,696,2025-07-07
ID45,Item45,660,2025-06-11
ID46,Item46,425,2025-04-29
ID47,Item47,663,2025-03-23
ID48,Item48,758,2025-12-15
ID49,Item49,680,2025-11-18
ID50,Item50,961,2026-02-13
